model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,pr_auc_mean,pr_auc_std
RandomForest_Balanced_Depth10,0.8004444444444445,0.016414386944550552,0.41239776654940724,0.034379862175268824,0.49313292884721455,0.03898915161835169,0.4471891906910984,0.020182947645067686,0.4663455159658872,0.03547639026528627
DecisionTree_Balanced_Depth5,0.7044444444444444,0.023328041728019028,0.33373137483563803,0.020553664098007268,0.8016179444750872,0.031511021821174455,0.4707883342696519,0.02127220572170363,0.45566688213099127,0.033374700712493065
LogisticRegression_Default,0.8517777777777777,0.007083278866892992,0.694001014001014,0.08356406883127353,0.16304467733039163,0.04366700921274236,0.26218951093951093,0.06311656328910341,0.45135810038110896,0.041482664083127535
LogisticRegression_Balanced,0.6940000000000001,0.027039979545612845,0.30756522612855164,0.029071612113935337,0.6888214745357603,0.049526536456424054,0.4248157667145372,0.034421630733270946,0.4483843766547004,0.04216304404875469
DecisionTree_Default,0.7862222222222222,0.016080046680111582,0.3578278749294481,0.044409041617336546,0.39000735429306854,0.0681431533840789,0.37244436236408596,0.05338822271793901,0.24194569805274319,0.03215567125885137
Dummy,0.8364444444444444,0.0004444444444444251,0.0,0.0,0.0,0.0,0.0,0.0,0.16355555555555554,0.0004444444444444473
